Nido De Almas#2lkEfig7F9vg1MALElBd0z#['Malon']#['3MBsvBr8B6mfjO6txfT6uL']#Serie De Oro#1KUXCG2YMNtEPZx8MkZ1E9#{'danceability': 0.467, 'energy': 0.891, 'key': 11, 'loudness': -6.931, 'mode': 1, 'speechiness': 0.0596, 'acousticness': 3.69e-05, 'instrumentalness': 0, 'liveness': 0.177, 'valence': 0.521, 'tempo': 110.228, 'type': 'audio_features', 'id': '2lkEfig7F9vg1MALElBd0z', 'uri': 'spotify:track:2lkEfig7F9vg1MALElBd0z', 'track_href': 'https://api.spotify.com/v1/tracks/2lkEfig7F9vg1MALElBd0z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2lkEfig7F9vg1MALElBd0z', 'duration_ms': 257267, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal']#0.007400000002235174
Malon Mestizo#7cpCGXoItO3OGKyIQXAmBA#['Malon']#['3MBsvBr8B6mfjO6txfT6uL']#Serie De Oro#1KUXCG2YMNtEPZx8MkZ1E9#{'danceability': 0.475, 'energy': 0.864, 'key': 2, 'loudness': -7.319, 'mode': 1, 'speechiness': 0.0428, 'acousticness': 5.75e-06, 'instrumentalness': 0.00075, 'liveness': 0.0861, 'valence': 0.645, 'tempo': 109.017, 'type': 'audio_features', 'id': '7cpCGXoItO3OGKyIQXAmBA', 'uri': 'spotify:track:7cpCGXoItO3OGKyIQXAmBA', 'track_href': 'https://api.spotify.com/v1/tracks/7cpCGXoItO3OGKyIQXAmBA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7cpCGXoItO3OGKyIQXAmBA', 'duration_ms': 215587, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal']#0.0
Asi Fue#419FFiitGchOUaIMEY7Dqi#['Isabel Pantoja']#['0G2qO3Wbj6WmCTFgcsJ1Eo']#Desde Andalucia#2z0nGeab4W4lk2AjxG3kbw#{'danceability': 0.733, 'energy': 0.319, 'key': 7, 'loudness': -11.585, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.322, 'instrumentalness': 8.18e-06, 'liveness': 0.2, 'valence': 0.466, 'tempo': 110.002, 'type': 'audio_features', 'id': '419FFiitGchOUaIMEY7Dqi', 'uri': 'spotify:track:419FFiitGchOUaIMEY7Dqi', 'track_href': 'https://api.spotify.com/v1/tracks/419FFiitGchOUaIMEY7Dqi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/419FFiitGchOUaIMEY7Dqi', 'duration_ms': 325467, 'time_signature': 4}#['cancion melodica', 'copla', 'pop romantico', 'spanish pop']#0.0
Destruccion#3uA2mxyUauUv8quA4w5jD6#['V8']#['2GOgGMMJooNV8Yk2PjvzAa']#Luchando por el Metal#4KDgm8j9XKonRf5S3aQfQE#{'danceability': 0.357, 'energy': 0.974, 'key': 2, 'loudness': -3.743, 'mode': 1, 'speechiness': 0.234, 'acousticness': 0.000924, 'instrumentalness': 5.71e-05, 'liveness': 0.314, 'valence': 0.286, 'tempo': 145.063, 'type': 'audio_features', 'id': '3uA2mxyUauUv8quA4w5jD6', 'uri': 'spotify:track:3uA2mxyUauUv8quA4w5jD6', 'track_href': 'https://api.spotify.com/v1/tracks/3uA2mxyUauUv8quA4w5jD6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3uA2mxyUauUv8quA4w5jD6', 'duration_ms': 128427, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'latin metal']#0.0
Sintoma De La Infeccion#300aLkaZSnTdQgK3zPKQLn#['Malon']#['3MBsvBr8B6mfjO6txfT6uL']#Serie De Oro#1KUXCG2YMNtEPZx8MkZ1E9#{'danceability': 0.385, 'energy': 0.902, 'key': 4, 'loudness': -6.595, 'mode': 0, 'speechiness': 0.068, 'acousticness': 0.000214, 'instrumentalness': 0.000115, 'liveness': 0.148, 'valence': 0.607, 'tempo': 140.671, 'type': 'audio_features', 'id': '300aLkaZSnTdQgK3zPKQLn', 'uri': 'spotify:track:300aLkaZSnTdQgK3zPKQLn', 'track_href': 'https://api.spotify.com/v1/tracks/300aLkaZSnTdQgK3zPKQLn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/300aLkaZSnTdQgK3zPKQLn', 'duration_ms': 255400, 'time_signature': 4}#['argentine heavy metal', 'argentine metal', 'argentine rock', 'latin metal']#0.0
Un Beso Y Una Flor#5IU4JO2cpa0wPK8oQWFfCr#['Nino Bravo']#['03zz3zpyV15ZGw1cgjZ7tj']#Super 20#6IXbg5QxJ4hGkrnTZo3n1B#{'danceability': 0.258, 'energy': 0.522, 'key': 9, 'loudness': -9.859, 'mode': 1, 'speechiness': 0.0316, 'acousticness': 0.688, 'instrumentalness': 0, 'liveness': 0.0703, 'valence': 0.419, 'tempo': 167.582, 'type': 'audio_features', 'id': '5IU4JO2cpa0wPK8oQWFfCr', 'uri': 'spotify:track:5IU4JO2cpa0wPK8oQWFfCr', 'track_href': 'https://api.spotify.com/v1/tracks/5IU4JO2cpa0wPK8oQWFfCr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5IU4JO2cpa0wPK8oQWFfCr', 'duration_ms': 272800, 'time_signature': 4}#['cantautor', 'pop romantico', 'spanish pop']#0.9976000189781189
Libre#1uAjXdRxH2PBCKGSWPagGJ#['Nino Bravo']#['03zz3zpyV15ZGw1cgjZ7tj']#Super 20#6IXbg5QxJ4hGkrnTZo3n1B#{'danceability': 0.361, 'energy': 0.527, 'key': 2, 'loudness': -10.366, 'mode': 1, 'speechiness': 0.0288, 'acousticness': 0.719, 'instrumentalness': 0, 'liveness': 0.403, 'valence': 0.499, 'tempo': 90.368, 'type': 'audio_features', 'id': '1uAjXdRxH2PBCKGSWPagGJ', 'uri': 'spotify:track:1uAjXdRxH2PBCKGSWPagGJ', 'track_href': 'https://api.spotify.com/v1/tracks/1uAjXdRxH2PBCKGSWPagGJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1uAjXdRxH2PBCKGSWPagGJ', 'duration_ms': 249333, 'time_signature': 4}#['cantautor', 'pop romantico', 'spanish pop']#1.0
Como yo te amo#2N1u2w7dbHt058hi7pIFjW#['Raphael']#['796OSRuB0E9Hq55uTFL9U8']#Y... sigo mi camino#1IWaci4FAbXR9OXmwQFMz3#{'danceability': 0.507, 'energy': 0.532, 'key': 11, 'loudness': -8.533, 'mode': 1, 'speechiness': 0.0499, 'acousticness': 0.577, 'instrumentalness': 4.14e-05, 'liveness': 0.0616, 'valence': 0.346, 'tempo': 140.099, 'type': 'audio_features', 'id': '2N1u2w7dbHt058hi7pIFjW', 'uri': 'spotify:track:2N1u2w7dbHt058hi7pIFjW', 'track_href': 'https://api.spotify.com/v1/tracks/2N1u2w7dbHt058hi7pIFjW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2N1u2w7dbHt058hi7pIFjW', 'duration_ms': 279160, 'time_signature': 4}#['bolero', 'pop romantico']#0.0
Niña de Tilcara#24xVslH2Pei1bxBna5gqu9#['Intoxicados']#['4VgvR7eu3k2T20mo6mXhXF']#Otro Día en el Planeta Tierra#4Q2jY2HQPZxGimNjoKFKaC#{'danceability': 0.897, 'energy': 0.517, 'key': 9, 'loudness': -9.977, 'mode': 0, 'speechiness': 0.141, 'acousticness': 0.0153, 'instrumentalness': 0.000279, 'liveness': 0.0686, 'valence': 0.943, 'tempo': 122.014, 'type': 'audio_features', 'id': '24xVslH2Pei1bxBna5gqu9', 'uri': 'spotify:track:24xVslH2Pei1bxBna5gqu9', 'track_href': 'https://api.spotify.com/v1/tracks/24xVslH2Pei1bxBna5gqu9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/24xVslH2Pei1bxBna5gqu9', 'duration_ms': 299027, 'time_signature': 4}#['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']#0.0794999971985817
El Viejo De Arriba#3o7JIm9joSI1pFRPKYGOxw#['Bersuit Vergarabat']#['6MxyNXnnmwQwdW2PD0gXYO']#Hijos Del Culo#3e8flfLtloaUHUqv3PIR2o#{'danceability': 0.772, 'energy': 0.762, 'key': 6, 'loudness': -3.838, 'mode': 0, 'speechiness': 0.0245, 'acousticness': 0.119, 'instrumentalness': 0, 'liveness': 0.0755, 'valence': 0.965, 'tempo': 98.037, 'type': 'audio_features', 'id': '3o7JIm9joSI1pFRPKYGOxw', 'uri': 'spotify:track:3o7JIm9joSI1pFRPKYGOxw', 'track_href': 'https://api.spotify.com/v1/tracks/3o7JIm9joSI1pFRPKYGOxw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3o7JIm9joSI1pFRPKYGOxw', 'duration_ms': 208533, 'time_signature': 4}#['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']#0.0
No Se Llama Amor#7q6HXszBhfxTPHWOxw8ehb#['Turf']#['0Zncosr79q01riJYbSBNA1']#Para Mi Para Vos#6gbK6L3qcmnGfhEEUj1VVu#{'danceability': 0.576, 'energy': 0.932, 'key': 5, 'loudness': -2.677, 'mode': 0, 'speechiness': 0.0649, 'acousticness': 0.0603, 'instrumentalness': 0, 'liveness': 0.053, 'valence': 0.778, 'tempo': 96.028, 'type': 'audio_features', 'id': '7q6HXszBhfxTPHWOxw8ehb', 'uri': 'spotify:track:7q6HXszBhfxTPHWOxw8ehb', 'track_href': 'https://api.spotify.com/v1/tracks/7q6HXszBhfxTPHWOxw8ehb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7q6HXszBhfxTPHWOxw8ehb', 'duration_ms': 245147, 'time_signature': 4}#['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']#0.0
Brujería#2w8wIBE9r1OmP7EUrTaCTL#['Los Tipitos']#['1SykQGBiBwkQ1fcGpJ1BJt']#Armando Camaleón#1d8IGsUrIw7cXqFcwUM5pP#{'danceability': 0.593, 'energy': 0.838, 'key': 2, 'loudness': -5.322, 'mode': 1, 'speechiness': 0.0367, 'acousticness': 0.000432, 'instrumentalness': 0.0153, 'liveness': 0.257, 'valence': 0.249, 'tempo': 103.994, 'type': 'audio_features', 'id': '2w8wIBE9r1OmP7EUrTaCTL', 'uri': 'spotify:track:2w8wIBE9r1OmP7EUrTaCTL', 'track_href': 'https://api.spotify.com/v1/tracks/2w8wIBE9r1OmP7EUrTaCTL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2w8wIBE9r1OmP7EUrTaCTL', 'duration_ms': 180067, 'time_signature': 4}#['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']#0.0
No Me Arrepiento de Este Amor#6Bj9aK0jTMmjUp1y4Z7SVz#['Gilda']#['6Q6qTNC2rAegcR5QjzcRgE']#20 Grandes Exitos#6cWj9XVKzrrayy7c6n5KiI#{'danceability': 0.771, 'energy': 0.852, 'key': 8, 'loudness': -4.61, 'mode': 1, 'speechiness': 0.0406, 'acousticness': 0.336, 'instrumentalness': 1.81e-05, 'liveness': 0.181, 'valence': 0.919, 'tempo': 96.067, 'type': 'audio_features', 'id': '6Bj9aK0jTMmjUp1y4Z7SVz', 'uri': 'spotify:track:6Bj9aK0jTMmjUp1y4Z7SVz', 'track_href': 'https://api.spotify.com/v1/tracks/6Bj9aK0jTMmjUp1y4Z7SVz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Bj9aK0jTMmjUp1y4Z7SVz', 'duration_ms': 220813, 'time_signature': 4}#['argentine rock', 'cumbia villera', 'rock en espanol']#0.0
Una Ráfaga de Amor#4i5NFoPWqTqlsR4WyoVFtB#['Rafaga']#['0CBKUzrf6yGdTgxAQbUUHS']#Lo mejor de Ráfaga#4qECJweYNVyAPvZNT6fd1T#{'danceability': 0.773, 'energy': 0.918, 'key': 9, 'loudness': -3.443, 'mode': 0, 'speechiness': 0.0461, 'acousticness': 0.236, 'instrumentalness': 9.3e-06, 'liveness': 0.053, 'valence': 0.921, 'tempo': 99.966, 'type': 'audio_features', 'id': '4i5NFoPWqTqlsR4WyoVFtB', 'uri': 'spotify:track:4i5NFoPWqTqlsR4WyoVFtB', 'track_href': 'https://api.spotify.com/v1/tracks/4i5NFoPWqTqlsR4WyoVFtB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4i5NFoPWqTqlsR4WyoVFtB', 'duration_ms': 183267, 'time_signature': 4}#['cumbia chilena', 'cumbia villera']#9.999999747378752e-05
Una Cerveza#3LNZSTiwQYL7BnTfHvIOII#['Rafaga']#['0CBKUzrf6yGdTgxAQbUUHS']#Una Cerveza#1g4pk2xu9KBJXTdtOwaO4C#{'danceability': 0.747, 'energy': 0.907, 'key': 10, 'loudness': -1.921, 'mode': 1, 'speechiness': 0.0515, 'acousticness': 0.316, 'instrumentalness': 0, 'liveness': 0.0879, 'valence': 0.757, 'tempo': 98.005, 'type': 'audio_features', 'id': '3LNZSTiwQYL7BnTfHvIOII', 'uri': 'spotify:track:3LNZSTiwQYL7BnTfHvIOII', 'track_href': 'https://api.spotify.com/v1/tracks/3LNZSTiwQYL7BnTfHvIOII', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3LNZSTiwQYL7BnTfHvIOII', 'duration_ms': 240853, 'time_signature': 4}#['cumbia chilena', 'cumbia villera']#0.0
Rata De Dos Patas#2okIVxq5V9JDpATsGA3t36#['Paquita La Del Barrio']#['1q18ngxrhXlHasoNpc2dt7']#Taco Placero#55rId50BVNE6iiiS1ZDKLh#{'danceability': 0.716, 'energy': 0.403, 'key': 0, 'loudness': -6.325, 'mode': 1, 'speechiness': 0.0261, 'acousticness': 0.55, 'instrumentalness': 5.74e-06, 'liveness': 0.22, 'valence': 0.685, 'tempo': 96.163, 'type': 'audio_features', 'id': '2okIVxq5V9JDpATsGA3t36', 'uri': 'spotify:track:2okIVxq5V9JDpATsGA3t36', 'track_href': 'https://api.spotify.com/v1/tracks/2okIVxq5V9JDpATsGA3t36', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2okIVxq5V9JDpATsGA3t36', 'duration_ms': 218198, 'time_signature': 4}#['grupera', 'ranchera']#0.0
Mujer Amante#5O5PY5HJNPxD7KyqU0SEhH#['Rata Blanca']#['632M26jlmnCrL8CqD5i7Kd']#XX aniversario en vivo - Magos, Espadas y Rosas#7dbk5SnWgnt485vlCizXBE#{'danceability': 0.485, 'energy': 0.791, 'key': 10, 'loudness': -7.719, 'mode': 0, 'speechiness': 0.0358, 'acousticness': 0.00433, 'instrumentalness': 0, 'liveness': 0.132, 'valence': 0.431, 'tempo': 122.08, 'type': 'audio_features', 'id': '5O5PY5HJNPxD7KyqU0SEhH', 'uri': 'spotify:track:5O5PY5HJNPxD7KyqU0SEhH', 'track_href': 'https://api.spotify.com/v1/tracks/5O5PY5HJNPxD7KyqU0SEhH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5O5PY5HJNPxD7KyqU0SEhH', 'duration_ms': 376584, 'time_signature': 4}#['argentine heavy metal', 'argentine rock', 'latin metal', 'rock en espanol', 'rock urbano mexicano']#0.003000000026077032
Lamento Boliviano#6Pur3hWy6Nzc27ilmsp5HA#['Los Enanitos Verdes']#['4TK1gDgb7QKoPFlzRrBRgR']#Big Bang#3y63u5vmuMugqI8lfuUY3a#{'danceability': 0.714, 'energy': 0.735, 'key': 4, 'loudness': -7.125, 'mode': 0, 'speechiness': 0.0306, 'acousticness': 0.176, 'instrumentalness': 0.000622, 'liveness': 0.115, 'valence': 0.68, 'tempo': 123.57, 'type': 'audio_features', 'id': '6Pur3hWy6Nzc27ilmsp5HA', 'uri': 'spotify:track:6Pur3hWy6Nzc27ilmsp5HA', 'track_href': 'https://api.spotify.com/v1/tracks/6Pur3hWy6Nzc27ilmsp5HA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Pur3hWy6Nzc27ilmsp5HA', 'duration_ms': 222227, 'time_signature': 4}#['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']#0.0
La Muralla Verde#1qvY1z3Wm3sAYeHfPTnrbI#['Los Enanitos Verdes']#['4TK1gDgb7QKoPFlzRrBRgR']#Originales - 20 Exitos#3AWurTYrtIfp7HwHg48DxV#{'danceability': 0.724, 'energy': 0.856, 'key': 8, 'loudness': -6.119, 'mode': 0, 'speechiness': 0.0283, 'acousticness': 0.0653, 'instrumentalness': 1.85e-06, 'liveness': 0.354, 'valence': 0.891, 'tempo': 129.794, 'type': 'audio_features', 'id': '1qvY1z3Wm3sAYeHfPTnrbI', 'uri': 'spotify:track:1qvY1z3Wm3sAYeHfPTnrbI', 'track_href': 'https://api.spotify.com/v1/tracks/1qvY1z3Wm3sAYeHfPTnrbI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qvY1z3Wm3sAYeHfPTnrbI', 'duration_ms': 161800, 'time_signature': 4}#['argentine rock', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol', 'ska argentino']#0.0
Arrancacorazones#2zogXcCqvKJwh3o67W3GG3#['Attaque 77']#['5rI6C5mJm6GYXbGHhpHTu9']#Antihumano#3NsuNDcnIc0jAxpC9svIbz#{'danceability': 0.486, 'energy': 0.764, 'key': 7, 'loudness': -4.195, 'mode': 1, 'speechiness': 0.0328, 'acousticness': 0.0679, 'instrumentalness': 0.0244, 'liveness': 0.0642, 'valence': 0.387, 'tempo': 114.729, 'type': 'audio_features', 'id': '2zogXcCqvKJwh3o67W3GG3', 'uri': 'spotify:track:2zogXcCqvKJwh3o67W3GG3', 'track_href': 'https://api.spotify.com/v1/tracks/2zogXcCqvKJwh3o67W3GG3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2zogXcCqvKJwh3o67W3GG3', 'duration_ms': 259187, 'time_signature': 4}#['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']#0.006399999838322401
A Veces Vuelvo#2E2dLZK0gSTl6vjr53BfKM#['Catupecu Machu']#['059ysTnWcrm4yFwTr0NDjc']#El Número Imperfecto#1nE0dr9IW4y6nKDtVO8yTn#{'danceability': 0.596, 'energy': 0.83, 'key': 1, 'loudness': -4.256, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.0189, 'instrumentalness': 0, 'liveness': 0.0429, 'valence': 0.607, 'tempo': 126.565, 'type': 'audio_features', 'id': '2E2dLZK0gSTl6vjr53BfKM', 'uri': 'spotify:track:2E2dLZK0gSTl6vjr53BfKM', 'track_href': 'https://api.spotify.com/v1/tracks/2E2dLZK0gSTl6vjr53BfKM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2E2dLZK0gSTl6vjr53BfKM', 'duration_ms': 266133, 'time_signature': 4}#['argentine punk', 'argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']#0.0
